/peak_find_SG_5UTR_edge_both.py
/Output files/Chr1_scan_5UTR-IGI750_450_reverse.txt

Chromosome: Chr1
Score: 5UTR-IGI750_450
Strand: reverse
Window Size: 151
Degree: 1
Threshold: 0

Edge Left	Edge Right	Peak Height
4	934	0.00521487329801
937	941	0.00331706237086
944	947	0.00141925144371
996	1002	0.00396252365563
1005	1009	0.00206471272848
1013	1015	0.000166901801325
1071	1383	0.402587644444
1575	2055	0.26317561498
2537	2541	0.00100008823179
2925	3291	0.281824277338
3384	3610	0.312642043424
11193	12004	0.403688940483
12132	12237	0.174874397611
12658	13777	0.346407198119
13929	13977	0.0623805365166
14990	15122	0.0920911538742
15319	15577	0.135327181993
15579	15583	0.00258896113245
16173	16210	0.0404444816225
16259	16277	0.0261227319934
16279	16285	0.0012619096755
16305	16959	0.312241447874
16972	16974	2.533897351e-05
