/peak_find_SG_5UTR_edge_both.py
/Output files/Chr1_scan_5UTR-IGI750_450_forward.txt

Chromosome: Chr1
Score: 5UTR-IGI750_450
Strand: forward
Window Size: 151
Degree: 1
Threshold: 0

Edge Left	Edge Right	Peak Height
4	1355	0.306861316927
1558	2023	0.320377873596
2023	2027	0.00412439298675
2543	2547	0.00354086690066
2553	2558	0.00588089783444
2582	2602	0.0320244902914
2607	2691	0.0782452404702
2959	3639	0.248961864609
11179	12052	0.487462414517
12143	12234	0.0949706208742
12646	13980	0.455729312079
13984	14019	0.0528414297152
15050	15092	0.0209965111258
15097	15111	0.0284204087285
15133	15138	0.00556930221854
15323	15348	0.0255247513907
15357	15389	0.0407001761192
15442	15452	0.0110052155364
15457	15462	0.00256507517219
16179	16230	0.039853433245
16248	16999	0.467341133623
17160	17166	0.00638335278146
